Year,Team,Finish,TourneyWins,Weekend,Seed,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,eFGPct,TOPct,ORPct,FTRate,OppeFGPct,OppTOPct,OppORPct,OppFTRate,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate
2002,2002 St. John's,H. First Round,1,1,9,71.8188,68.7905,97.0139,101.956,94.3765,92.6749,9.28117,43.702,20.8725,38.4198,41.5259,47.1971,25.7025,36.339,42.0159,43.9074,28.719,66.9544,9.7403,46.1039,33.1461,72.1024,9.1899,24.7824,30.2378,46.9388,57.3154,0.1393,0.0992
2002,2002 Stanford,G.Second Round,2,1,8,71.4355,69.5528,112.521,116.857,99.801,95.8058,21.0509,50.768,18.8527,40.0719,44.5968,47.3219,16.9628,29.0606,37.0513,50.6173,34.0461,69.9877,10.1961,45.098,35.0746,69.4486,6.5844,33.3516,29.5969,58.3942,51.114,0.0701,0.0986
2002,2002 Texas,F.Sweet 16,3,2,6,70.7855,68.8534,109.9,116.036,102.734,99.5269,16.5086,50.0477,19.1969,41.0016,38.8359,49.7544,20.1856,34.1772,34.7741,48.2603,36.7647,68.6732,9.5342,47.3071,36.5559,65.3955,8.3119,25.9542,32.5147,54.373,52.13,0.0869,0.091
2002,2002 Texas Tech,H. First Round,1,1,6,72.5477,69.7493,109.076,114.262,97.7252,96.9368,17.3249,50.2251,17.0043,34.4856,38.4192,47.0843,20.9877,36.838,23.9036,48.7275,37.6289,68.2292,8.8332,44.8253,35.4839,68.1452,7.0764,19.4097,26.8916,63.1579,55.2392,0.1041,0.0822
2002,2002 Tulsa,G.Second Round,2,1,12,71.3555,69.5823,112.082,114.383,96.5354,99.1584,15.2246,54.0021,18.0933,32.4955,36.275,48.1137,21.0734,31.8371,32.9716,51.0526,40.2262,75.389,11.2177,46.3469,34.8276,68.0251,9.0226,31.7599,29.9742,60.5603,51.9277,0.1094,0.0945
2002,2002 UC Santa Barbara,H. First Round,1,1,14,63.2345,63.1683,105.216,107.66,96.0965,98.0668,9.59321,51.6344,21.1956,32.0838,41.0941,45.1336,18.4607,29.6262,39.2494,47.0414,40.8247,75.8117,8.7185,43.1723,32.0968,69.3679,6.7061,32.3549,39.4402,65.7778,58.5246,0.0868,0.0778
2002,2002 UCLA,F.Sweet 16,3,2,8,69.505,67.0304,106.244,113.259,102.937,97.9373,15.3217,53.0073,21.3603,36.022,33.9435,49.6265,19.4224,33.2788,28.1873,50.6716,38.986,69.1834,8.1152,49.3892,33.2947,71.5548,6.1194,29.9163,42.9283,52.9933,55.6858,0.0784,0.0805
2002,2002 UNC Wilmington,G.Second Round,2,1,13,64.2049,63.0568,104.16,106.032,93.3916,95.3145,10.7173,49.6118,18.7602,33.2149,36.3283,46.2888,24.0205,34.4798,36.3636,46.4905,37.3311,68.855,9.0513,45.3438,32.0883,67.2468,8.6705,32.8342,33.8895,57.7806,54.7887,0.128,0.0931
2002,2002 USC,H. First Round,1,1,4,71.6328,69.4315,107.349,112.82,95.4624,90.9967,21.8232,48.9336,16.8436,36.4,33.2525,48.4765,23.7361,32.463,39.0582,47.7411,34.6552,69.242,11.2281,47.2807,33.6842,68.3688,6.8105,28.1144,36.8421,55.4455,58.4535,0.1236,0.0694
2002,2002 Utah,H. First Round,1,1,12,62.6181,61.8472,107.712,111.442,97.4318,96.1611,15.2805,54.4956,20.9921,29.4964,41.9591,48.7537,20.8215,28.5215,41.2024,50.306,40.4719,67.9443,7.3961,49.1388,31.8302,70.6406,7.3439,40.2778,27.6393,63.7224,51.5702,0.0922,0.0927
2002,2002 Valparaiso,H. First Round,1,1,13,69.9092,68.1911,110.569,111.344,94.0668,97.2123,14.1322,51.6484,19.1322,36.0067,38.1999,47.9857,24.2044,34.3426,32.4503,51.0804,35.0133,67.3973,10.741,45.2956,35.5155,65.8163,6.3094,39.4558,33.7196,63.9766,66.8857,0.1415,0.0957
2002,2002 Wake Forest,G.Second Round,2,1,7,73.2075,69.4424,110.631,117.448,103.941,100.767,16.6817,53.5339,19.8534,36.6834,35.3868,50.1176,19.4939,34.0651,33.4431,52.8839,36.6412,73.8192,9.9499,49.32,34.4307,68.7764,6.5323,31.2798,34.2897,55.2448,53.2979,0.0879,0.1039
2002,2002 Western Kentucky,H. First Round,1,1,9,69.0281,67.0926,109.122,110.535,92.5488,95.2192,15.3154,53.5858,20.7666,36.284,34.825,47.2106,22.6242,29.7753,35.4529,50.8026,38.5965,69.1928,8.3048,46.3185,32.8657,66.3283,8.2153,39.2427,29.934,56.4838,45.8156,0.0995,0.091
